hostname=node2, be=0, 64-bit, os=Linux, arch=aarch64, fio=fio-3.12, flags=1
<node2> rbd: (g=0): rw=randrw, bs=(R) 8192B-8192B, (W) 8192B-8192B, (T) 8192B-8192B, ioengine=rbd, iodepth=64
<node2> Starting 1 process
Jobs: 1 (f=1)
Jobs: 1 (f=1)
Jobs: 1 (f=1): [m(1)][35.8%][r=6200k,w=3112k][r=775,w=389 IOPS][eta 06m:25s]
Jobs: 1 (f=1): [m(1)][36.0%][r=7320k,w=3176k][r=915,w=397 IOPS][eta 06m:24s]
Jobs: 1 (f=1): [m(1)][36.2%][r=6568k,w=2840k][r=821,w=355 IOPS][eta 06m:23s]
Jobs: 1 (f=1): [m(1)][36.3%][r=6896k,w=3080k][r=862,w=385 IOPS][eta 06m:22s]
Jobs: 1 (f=1): [m(1)][36.5%][r=6752k,w=2984k][r=844,w=373 IOPS][eta 06m:21s]
Jobs: 1 (f=1): [m(1)][36.7%][r=7112k,w=3352k][r=889,w=419 IOPS][eta 06m:20s]
Jobs: 1 (f=1): [m(1)][36.8%][r=6792k,w=3160k][r=849,w=395 IOPS][eta 06m:19s]
Jobs: 1 (f=1): [m(1)][37.0%][r=7096k,w=3272k][r=887,w=409 IOPS][eta 06m:18s]
Jobs: 1 (f=1): [m(1)][37.2%][r=7000k,w=3192k][r=875,w=399 IOPS][eta 06m:17s]
Jobs: 1 (f=1): [m(1)][37.3%][r=6752k,w=2672k][r=844,w=334 IOPS][eta 06m:16s]
Jobs: 1 (f=1): [m(1)][37.5%][r=8080k,w=3504k][r=1010,w=438 IOPS][eta 06m:15s]
